hgnc_symbol	chromosome_name
MPIG6B	CHR_HSCHR6_MHC_DBB_CTG1
PSEN2	1
AC005695.1	17
IGHV3-11	14
AC073263.3	2
IGHVIII-11-1	14
AC073263.2	2
AC012354.2	2
PRMT7	16
IGHV1-12	14
AC016252.1	3
PIP4P2	8
IGHV3-13	14
CLDN18	3
AC083822.1	3
IGHVIII-13-1	14
TSPY2	Y
SIX2	2
AL157938.4	9
BCHE	3
CDY12P	Y
AC005099.1	7
PLPP7	9
AC083906.4	3
UBXN7	3
HSPA5	9
AC087439.1	8
REG1A	2
FAAHP1	1
KIR2DS4	CHR_HSCHR19LRC_LRC_S_CTG3_1
AC087632.2	15
AMD1	6
FOXN1	17
LINC01322	3
LINC01398	1
DHRS9	2
TSPYL2	X
ELOCP15	Y
AC005695.3	17
AC004217.1	12
PRY2	Y
KRT8P36	3
LNP1	3
DZIP1L	3
UNC119	17
AC007359.1	Y
TOMM70	3
UBXN7-AS1	3
TTTY6B	Y
AC117490.1	3
LINC00942	12
REG1CP	2
AC117490.2	3
RNF168	3
MYL6	12
KIR3DL2	CHR_HSCHR19LRC_LRC_J_CTG3_1
MTND4P17	3
DXO	6
MTND4LP10	3
SLC6A3	CHR_HSCHR5_3_CTG1
MTND3P7	3
CNKSR3	6
PRRT1	CHR_HSCHR6_MHC_SSTO_CTG1
MTCO3P38	3
MCUR1P2	3
SMCO1	3
AC104629.1	3
AP1G1	16
LINC01326	3
AC096554.1	2
SPATA12	3
FAM221B	9
PCLAF	15
TMEM42	3
AC072046.2	3
PSAT1P4	3
AC092933.1	3
AC072046.1	3
AC097358.2	3
RPS29P3	3
NR1H4	12
CBX1P5	3
AC069439.2	3
LINC02514	4
AC139019.1	8
ASAP1-IT2	8
AC069439.1	3
AC009682.1	8
RBMY1F	Y
PMF1-BGLAP	1
PPIAP74	3
AL133410.3	9
ASAP1	8
AC092669.1	2
TMEM8B	9
LINC01873	2
AC135782.3	16
LINC00304	16
ZNF324	19
VPS37D	7
WDR53	3
BGLAP	1
LINC02601	X
CXorf56	X
AL354855.1	9
ACSF3	16
AL391647.1	X
AL162399.1	1
AL023495.1	1
AC007556.1	2
AL357075.2	6
PAQR6	1
SLC27A5	19
KCNE3	11
MAPK15	8
TRIM9	14
FBXO45	3
CSNK1G1	15
ZBBX	3
OPRM1	6
AC092933.2	3
IGHV1-14	14
LINC01063	3
AC093702.1	2
